Expected delay, Actual delay
65, 139.495798
65, 139.495798
65, 142.016807
65, 139.495798
65, 140.336134
65, 139.495798
66, 140.336134
66, 140.336134
66, 140.336134
66, 140.336134
66, 140.336134
66, 142.857143
66, 140.336134
66, 140.336134
66, 140.336134
66, 140.336134
67, 141.176471
67, 141.176471
67, 141.176471
67, 141.176471
67, 142.016807
67, 141.176471
67, 143.697479
67, 142.016807
67, 141.176471
67, 141.176471
68, 142.857143
68, 142.857143
68, 142.857143
68, 142.016807
68, 142.857143
68, 144.537815
68, 142.857143
68, 142.857143
68, 142.857143
68, 142.857143
69, 145.378151
69, 143.697479
69, 143.697479
69, 143.697479
69, 145.378151
69, 143.697479
69, 143.697479
69, 143.697479
69, 143.697479
69, 143.697479
70, 144.537815
70, 144.537815
70, 144.537815
70, 147.058824
70, 144.537815
70, 144.537815
70, 145.378151
70, 144.537815
70, 144.537815
70, 144.537815
71, 145.378151
71, 145.378151
71, 147.899160
71, 145.378151
71, 145.378151
71, 145.378151
71, 145.378151
71, 145.378151
71, 145.378151
71, 145.378151
72, 147.058824
72, 169.747899
72, 147.899160
72, 146.218487
72, 146.218487
72, 146.218487
72, 146.218487
72, 146.218487
72, 146.218487
72, 169.747899
73, 147.899160
73, 147.899160
73, 147.058824
73, 147.899160
73, 147.058824
73, 147.899160
73, 149.579832
73, 147.899160
73, 148.739496
73, 147.899160
74, 148.739496
74, 148.739496
74, 148.739496
74, 147.899160
74, 170.588235
74, 148.739496
74, 148.739496
74, 148.739496
74, 148.739496
74, 148.739496
75, 151.260504
75, 149.579832
75, 149.579832
75, 149.579832
75, 151.260504
75, 149.579832
75, 149.579832
75, 149.579832
75, 173.109244
75, 149.579832
76, 150.420168
76, 150.420168
76, 150.420168
76, 150.420168
76, 152.100840
76, 150.420168
76, 151.260504
76, 150.420168
76, 150.420168
76, 150.420168
77, 152.100840
77, 153.781513
77, 151.260504
77, 151.260504
77, 152.100840
77, 151.260504
77, 151.260504
77, 153.781513
77, 151.260504
77, 151.260504
78, 152.941176
78, 152.941176
78, 152.941176
78, 154.621849
78, 152.941176
78, 154.621849
78, 152.941176
78, 152.941176
78, 152.100840
78, 152.941176
79, 153.781513
79, 153.781513
79, 175.630252
79, 153.781513
79, 153.781513
79, 153.781513
79, 155.462185
79, 153.781513
79, 153.781513
79, 153.781513
80, 154.621849
80, 155.462185
80, 157.142857
80, 154.621849
80, 154.621849
80, 154.621849
80, 154.621849
80, 154.621849
80, 156.302521
80, 154.621849
81, 155.462185
81, 155.462185
81, 155.462185
81, 157.142857
81, 155.462185
81, 155.462185
81, 157.142857
81, 155.462185
81, 157.983193
81, 155.462185
82, 156.302521
82, 156.302521
82, 156.302521
82, 158.823529
82, 156.302521
82, 156.302521
82, 156.302521
82, 156.302521
82, 156.302521
82, 156.302521
83, 157.983193
83, 179.831933
83, 157.983193
83, 157.142857
83, 160.504202
83, 157.983193
83, 157.142857
83, 157.142857
83, 157.983193
83, 159.663866
84, 158.823529
84, 158.823529
84, 158.823529
84, 158.823529
84, 160.504202
84, 158.823529
84, 158.823529
84, 175.630252
84, 158.823529
84, 160.504202
85, 160.504202
85, 159.663866
85, 159.663866
85, 159.663866
85, 162.184874
85, 159.663866
85, 159.663866
85, 159.663866
85, 159.663866
85, 161.344538
86, 160.504202
86, 160.504202
86, 161.344538
86, 163.025210
86, 160.504202
86, 160.504202
86, 160.504202
86, 160.504202
86, 163.025210
86, 160.504202
87, 161.344538
87, 161.344538
87, 163.865546
87, 161.344538
87, 161.344538
87, 161.344538
87, 163.025210
87, 163.025210
87, 161.344538
87, 161.344538
88, 162.184874
88, 163.025210
88, 185.714286
88, 163.025210
88, 163.025210
88, 164.705882
88, 163.025210
88, 162.184874
88, 162.184874
88, 163.025210
89, 163.865546
89, 185.714286
89, 183.193277
89, 163.865546
89, 165.546218
89, 163.865546
89, 163.865546
89, 163.865546
89, 163.865546
89, 165.546218
90, 164.705882
90, 164.705882
90, 164.705882
90, 166.386555
90, 164.705882
90, 164.705882
90, 164.705882
90, 167.226891
90, 164.705882
90, 164.705882
91, 168.067227
91, 165.546218
91, 165.546218
91, 165.546218
91, 167.226891
91, 165.546218
91, 165.546218
91, 165.546218
91, 167.226891
91, 165.546218
92, 166.386555
92, 166.386555
92, 168.907563
92, 166.386555
92, 167.226891
92, 166.386555
92, 168.907563
92, 166.386555
92, 166.386555
92, 166.386555
93, 168.067227
93, 191.596639
93, 168.067227
93, 168.067227
93, 168.907563
93, 167.226891
93, 168.907563
93, 233.613445
93, 179.831933
93, 168.907563
94, 169.747899
94, 169.747899
94, 169.747899
94, 168.907563
94, 173.109244
94, 169.747899
94, 169.747899
94, 173.949580
94, 173.949580
94, 190.756303
95, 185.714286
95, 180.672269
95, 186.554622
95, 182.352941
95, 189.915966
95, 184.873950
95, 189.915966
95, 184.873950
95, 185.714286
95, 191.596639
96, 184.873950
96, 193.277311
96, 182.352941
96, 189.915966
96, 185.714286
96, 197.478992
96, 162.184874
96, 162.184874
96, 159.663866
96, 159.663866
97, 161.344538
97, 159.663866
97, 159.663866
97, 159.663866
97, 159.663866
97, 159.663866
97, 158.823529
97, 159.663866
97, 158.823529
97, 159.663866
98, 160.504202
98, 160.504202
98, 161.344538
98, 160.504202
98, 160.504202
98, 160.504202
98, 160.504202
98, 160.504202
98, 159.663866
98, 160.504202
99, 161.344538
99, 161.344538
99, 161.344538
99, 161.344538
99, 162.184874
99, 161.344538
99, 161.344538
99, 161.344538
99, 161.344538
99, 161.344538
100, 163.025210
100, 162.184874
100, 163.025210
100, 163.025210
100, 163.025210
100, 163.025210
100, 163.025210
100, 162.184874
100, 160.504202
100, 162.184874
101, 163.025210
101, 163.025210
101, 163.865546
101, 163.865546
101, 163.865546
101, 163.865546
101, 163.865546
101, 163.865546
101, 163.025210
101, 163.865546
102, 163.865546
102, 164.705882
102, 164.705882
102, 164.705882
102, 164.705882
102, 164.705882
102, 164.705882
102, 163.865546
102, 163.865546
102, 163.865546
103, 165.546218
103, 165.546218
103, 165.546218
103, 165.546218
103, 165.546218
103, 165.546218
103, 165.546218
103, 165.546218
103, 165.546218
103, 165.546218
104, 166.386555
104, 166.386555
104, 167.226891
104, 166.386555
104, 166.386555
104, 166.386555
104, 164.705882
104, 166.386555
104, 166.386555
104, 166.386555
105, 167.226891
105, 167.226891
105, 168.067227
105, 168.067227
105, 168.067227
105, 168.067227
105, 168.067227
105, 168.067227
105, 167.226891
105, 167.226891
106, 168.907563
106, 168.907563
106, 168.907563
106, 168.907563
106, 168.907563
106, 168.907563
106, 168.907563
106, 168.907563
106, 168.907563
106, 168.067227
107, 169.747899
107, 169.747899
107, 169.747899
107, 169.747899
107, 169.747899
107, 169.747899
107, 170.588235
107, 169.747899
107, 169.747899
107, 182.352941
108, 170.588235
108, 170.588235
108, 171.428571
108, 171.428571
108, 171.428571
108, 171.428571
108, 171.428571
108, 171.428571
108, 170.588235
108, 170.588235
109, 171.428571
109, 172.268908
109, 172.268908
109, 172.268908
109, 173.109244
109, 172.268908
109, 172.268908
109, 172.268908
109, 172.268908
109, 172.268908
110, 173.109244
110, 173.109244
110, 173.949580
110, 173.949580
110, 173.949580
110, 173.949580
110, 173.949580
110, 173.949580
110, 173.109244
110, 173.109244
111, 173.949580
111, 173.949580
111, 175.630252
111, 174.789916
111, 174.789916
111, 174.789916
111, 175.630252
111, 174.789916
111, 174.789916
111, 173.949580
112, 174.789916
112, 175.630252
112, 176.470588
112, 176.470588
112, 176.470588
112, 176.470588
112, 177.310924
112, 177.310924
112, 176.470588
112, 175.630252
113, 177.310924
113, 177.310924
113, 177.310924
113, 177.310924
113, 177.310924
113, 178.151261
113, 178.151261
113, 177.310924
113, 177.310924
113, 177.310924
114, 178.151261
114, 178.151261
114, 179.831933
114, 178.991597
114, 178.991597
114, 178.991597
114, 178.991597
114, 179.831933
114, 180.672269
114, 179.831933
115, 179.831933
115, 179.831933
115, 180.672269
115, 180.672269
115, 179.831933
115, 180.672269
115, 179.831933
115, 180.672269
115, 179.831933
115, 180.672269
116, 180.672269
116, 181.512605
116, 180.672269
116, 181.512605
116, 180.672269
116, 182.352941
116, 180.672269
116, 181.512605
116, 181.512605
116, 182.352941
